Company,VADER,TextBlob,GoogleAPI
AT&T,0.06759780131920869,0.05511516015850496,-0.1387167717855291
Adidas,0.3783305355715536,0.2670342703421297,0.368285365887478
Allstate Insurance,0.30825264593562324,0.1573083915297326,0.15076377324086276
Apple,0.18368510595761645,0.1273776124656147,0.0567972805571777
Berkshire Hathaway,0.3067075739408457,0.2186587908655067,0.3637689833802989
Best Buy,0.2561816147082318,0.20328741767386277,0.10443645115387801
CVS Healthcare,0.22451013900245326,0.11509769719296797,0.12943581337040083
Cineplex,0.16745058823529405,0.07466250593361343,-0.03739495949411788
Citigroup,0.16399710982658955,0.07996252122515847,0.010597302085604138
Costco,0.1504337929656278,0.0972559052128299,-0.02490008175219823
Delta Airlines,0.09660334763948439,0.0884818381293992,-0.09379828517210317
GameStop,0.0823533772981616,0.04963516255295751,-0.07553956917745677
Home Depot,0.26452130295763243,0.12359320863589145,0.11406874375439745
Hyatt Hotels,0.21732778846153822,0.13850193197740399,0.16694711375120325
JPMorgan Chase,0.06157757793764967,0.05030736333193454,-0.11195044107653848
Marriott Hotels,0.2821016386890459,0.187080505833134,0.19284572135611847
McDonalds,0.16012136000000035,0.08918427909959985,-0.0027600016744000135
Mercedes,0.2364282630421748,0.14601210448371024,0.2107135708722793
Microsoft,0.2065389566260247,0.10882392489926057,0.08319008589426426
Nike,0.37726756594725486,0.2795421099924107,0.38868904128915094
Rogers,0.11412142857142857,0.06466691791071427,-0.176785715375
Starbucks,0.24382971622701927,0.14794053950939173,0.14176658405555667
State Farm Insurance,0.2859561711804819,0.1725022887566673,0.09017986203762693
Target,0.2582614108713035,0.1428285264910067,0.1323940826225034
Tesla,0.20572172262190297,0.13265098545543666,0.0989408458876906
Toyota,0.23086312212672339,0.1476932087947236,0.17923246016250502
Verizon,0.1341877697841731,0.08257186597621921,-0.0822142307192243
Walmart,0.14047034372501913,0.09421092717885715,-0.011191048011390913
Wells Fargo,0.1477569544364468,0.06413448439588483,-0.2264588346169077
