Company,VADER,TextBlob,GoogleAPI
AT&T,0.2764928571428571,0.08563978093258011,-0.17571428875838008
Adidas,0.4786528571428572,0.12388924542145034,0.011428572024617877
Allstate Insurance,0.40672714285714295,0.09165499099436945,-0.024285713476794108
Apple,0.46838235294117647,0.14779621227685108,-0.09117647008422543
Berkshire Hathaway,0.4554814285714285,0.13024439754269299,-0.14571428586329732
Best Buy,0.8702371428571433,0.4023614988138919,0.3100000039807388
CVS Healthcare,0.5578942857142857,0.11945219706983394,0.04571428777916091
Cineplex,0.4056371428571429,0.09212246658631287,-0.10428571679762431
Citigroup,0.15880999999999992,0.08369977755529706,-0.17571428822619575
Costco,0.3886328571428572,0.09389613790190089,-0.23285714611411096
Delta Airlines,0.13731428571428575,0.08405863149897243,-0.30285714832799776
GameStop,0.3696914285714286,0.07056777448169908,-0.13000000289508273
Home Depot,0.49418714285714277,0.10856999997135847,-0.015714285096951892
Hyatt Hotels,0.5767657142857144,0.13191878509292296,0.025714286523205895
JPMorgan Chase,0.44392285714285723,0.08017632204308581,-0.14000000261834689
Marriott Hotels,0.33731449275362324,0.052719462750165764,-0.1449275381755138
McDonalds,0.5414185714285714,0.10325503956206646,-0.18285714611411094
Mercedes,0.526686956521739,0.10114739018318683,0.09130434832279233
Microsoft,0.4129073529411765,0.0452763255168689,-0.1882352972512736
Nike,0.35277714285714296,0.08758154891742319,-0.025714286629642757
Rogers,0.5415842857142857,0.1076200593077042,-0.024285713689667837
Starbucks,0.5055847222222222,0.0895356619824513,-0.15694444750746092
State Farm Insurance,0.2072185714285715,0.10812519996565616,-0.2071428604424
Target,0.34110285714285704,0.05898907905383061,-0.17857143091303962
Tesla,0.3145914285714286,0.06985802420797783,-0.1842857174575329
Toyota,0.33081857142857135,0.08578738314655522,-0.0885714295719351
Verizon,0.5460514285714286,0.11940637579747582,0.03285714451755796
Walmart,0.3342181818181817,0.08235556952831158,-0.23787879006880702
Wells Fargo,0.37776714285714275,0.05265974128730594,-0.25428571701049807
