Company,VADER,TextBlob,GoogleAPI
AT&T,0.03660000000000001,0.09006352075954345,-0.39250000696629284
Adidas,0.6732727272727272,0.32841091568364295,0.15454546294429086
Allstate Insurance,-0.24805,0.07500000000000001,-0.30000001192092896
Apple,0.3572858823529412,0.09547559196681889,-0.15058823490844053
Berkshire Hathaway,0.557175,0.022769886363636364,-0.625
Best Buy,0.8074142857142856,0.3360309964206068,0.1142857191818101
CVS Healthcare,-0.4114,-0.05694444444444443,-0.43333334227403003
Cineplex,-0.5682499999999993,0.1838325216450217,-0.3333333320915699
Citigroup,0.2690666666666667,0.09776334776334776,-0.10000000397364299
Costco,0.1049695652173913,0.09439410529084444,-0.26086956683708273
Delta Airlines,-0.06617999999999999,0.05068277026807477,-0.4400000030344183
GameStop,0.40092209302325565,0.04734240719639767,-0.4523255863161974
Home Depot,0.143875,0.15564988504010419,-0.21250000223517418
Hyatt Hotels,-0.78675,-0.3425,-0.550000011920929
JPMorgan Chase,0.2353095238095238,0.09109809821344814,-0.4857142897588866
Marriott Hotels,0.6152500000000001,0.05821608946608946,-0.2500000074505806
McDonalds,-0.10660624999999996,0.0643314351330788,-0.40625000558793545
Mercedes,0.4632333333333333,0.19888762031619167,-0.2666666756073634
Microsoft,0.17363846153846152,0.09315845586037892,-0.38461538633474934
Nike,-0.22180243902439029,0.09498378738470205,-0.29878049153016834
Rogers,0.40621666666666667,0.03506303110469778,-0.4166666766007741
Starbucks,0.1553619718309859,0.04693182761244539,-0.3521126830871676
State Farm Insurance,0.6462083333333332,0.051578282828282834,-0.3166666775941849
Target,0.25232352941176495,0.07891798523817238,-0.20882352638770552
Tesla,-0.007894366197183093,0.06345581243594323,-0.4619718353513261
Toyota,-0.8866428571428572,0.05714285714285713,-0.6000000238418579
Verizon,0.2673333333333333,0.09316525038747261,-0.13333333449231255
Walmart,0.314864,0.14716904814454596,0.04479999941587448
Wells Fargo,0.2650818181818182,0.04050805288113434,-0.4818181896751577
